,duration_ms,year,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
61,298960,2000,52,0.742,0.732,2,-6.046,0.0311,0.0424,0.00446,0.101,0.694,97.922
62,199480,2011,0,0.471,0.514,1,-5.599,0.0315,0.584,0.0,0.103,0.373,117.338
63,257200,2000,60,0.682,0.744,8,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493
64,273706,1999,61,0.599,0.47,1,-8.356,0.0376,0.38,0.0,0.111,0.298,127.177
65,273533,2000,58,0.631,0.734,5,-7.48,0.036,0.348,0.0,0.135,0.591,124.036
66,255373,1999,78,0.458,0.795,0,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229
67,251040,2000,55,0.826,0.656,9,-8.529,0.0617,0.0101,0.000113,0.0272,0.852,129.963
68,235133,2000,70,0.659,0.812,4,-7.499,0.0487,0.23,0.0,0.0951,0.888,83.014
69,261973,1999,66,0.777,0.601,2,-5.931,0.126,0.0406,0.00201,0.0348,0.68,97.911
70,243533,2000,55,0.859,0.622,11,-8.196,0.0445,0.0661,0.0,0.0394,0.433,134.007
71,202800,2000,55,0.822,0.847,10,-6.729,0.0917,0.0854,0.0,0.0452,0.668,107.908
72,214819,2000,58,0.751,0.901,2,-5.802,0.0328,0.0504,0.00308,0.0395,0.973,124.017
73,234826,2000,59,0.655,0.791,0,-8.923,0.0302,0.1,0.000124,0.334,0.862,118.981
74,228140,1999,56,0.808,0.982,3,-6.588,0.0311,0.0585,0.00689,0.35,0.961,124.999
75,230200,1999,70,0.771,0.685,1,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997
76,241373,1999,64,0.634,0.886,9,-5.424,0.0434,0.154,0.0,0.118,0.577,93.04
77,233933,2000,78,0.545,0.865,11,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
78,226760,2000,52,0.736,0.666,1,-4.929,0.0337,0.0593,3.82e-05,0.107,0.224,89.824
79,256973,2000,57,0.914,0.607,7,-5.658,0.32,0.0626,0.0,0.0515,0.666,98.054
80,236866,2000,49,0.313,0.831,1,-3.894,0.0404,0.000127,0.000341,0.24,0.332,152.034
81,253626,1999,57,0.664,0.396,5,-9.131,0.0298,0.52,0.0,0.268,0.453,102.053
82,281466,1999,54,0.581,0.607,4,-8.458,0.028,0.189,1.6e-06,0.0882,0.213,102.03
83,231760,2000,68,0.491,0.593,0,-5.975,0.0255,0.098,0.0,0.257,0.328,144.142
84,268746,2000,62,0.631,0.664,6,-9.197,0.0242,0.0498,0.00042,0.0696,0.407,100.618
85,221133,2001,65,0.73,0.602,6,-3.782,0.206,0.362,3.69e-06,0.169,0.927,97.954
86,191040,2000,60,0.644,0.874,0,-4.666,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09
87,348893,2000,54,0.724,0.416,5,-8.964,0.0841,0.365,0.0,0.0969,0.578,151.181
88,347106,1999,56,0.578,0.894,10,-5.42,0.0296,0.0103,2.66e-06,0.216,0.741,165.98
89,256133,2000,54,0.518,0.83,6,-6.814,0.0386,0.0404,3.85e-06,0.375,0.527,95.468
90,219093,2001,60,0.558,0.481,8,-9.487,0.026,0.315,8.83e-06,0.09,0.631,144.673
91,230093,2000,70,0.575,0.786,9,-4.353,0.0296,0.252,0.0,0.159,0.518,96.102
92,274800,1999,64,0.41,0.539,0,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852
93,207506,2000,68,0.607,0.82,11,-7.754,0.0597,0.0541,6.8e-05,0.269,0.768,126.988
94,296693,2000,65,0.725,0.487,8,-5.959,0.0368,0.26,1.09e-05,0.431,0.599,136.086
95,241666,1999,71,0.625,0.85,4,-3.904,0.0495,0.346,0.000233,0.174,0.633,94.661
96,203333,1999,64,0.829,0.915,8,-3.205,0.106,0.226,1.25e-05,0.246,0.779,118.903
97,316733,1999,69,0.459,0.83,2,-6.254,0.0364,5.15e-05,0.00014,0.206,0.431,155.827
98,206226,2000,65,0.765,0.791,8,-5.707,0.0317,0.262,0.000154,0.0669,0.966,95.026
99,287000,2000,68,0.865,0.664,2,-6.822,0.108,0.00689,0.0,0.142,0.565,162.831
100,227600,2000,76,0.853,0.606,0,-4.596,0.0713,0.0561,0.0,0.313,0.654,94.759
101,254026,2001,70,0.514,0.911,1,-2.027,0.41,0.0559,0.0,0.775,0.619,161.109
102,404106,2000,83,0.78,0.768,6,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063
103,230640,2001,73,0.766,0.563,9,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007
104,264893,2001,68,0.76,0.801,5,-3.769,0.0534,0.0144,1.49e-05,0.665,0.653,109.919
105,243160,2000,1,0.622,0.608,10,-5.085,0.036,0.138,5.38e-06,0.273,0.607,89.661
106,196160,2001,74,0.794,0.832,1,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657
107,165853,2001,78,0.643,0.849,2,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152
108,259933,2001,77,0.481,0.638,0,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064
109,254640,2001,62,0.637,0.929,5,-6.03,0.0447,0.063,0.00796,0.318,0.604,136.482
110,250706,2001,71,0.667,0.773,5,-4.983,0.0586,0.201,0.0,0.404,0.667,89.976
111,203600,2001,69,0.847,0.843,5,-3.579,0.106,0.415,0.000134,0.107,0.963,110.027
112,197826,2001,62,0.689,0.894,6,-6.342,0.0672,0.133,4.72e-05,0.0681,0.709,123.971
113,252986,2001,57,0.622,0.669,9,-8.419,0.329,0.0266,2.97e-06,0.152,0.57,93.839
114,265866,2001,76,0.911,0.551,8,-3.75,0.0449,0.132,4.12e-05,0.0863,0.969,92.887
115,222435,2015,53,0.645,0.903,5,-10.587,0.0441,0.00188,0.799,0.147,0.61,135.977
116,213760,2000,73,0.603,0.933,1,-3.358,0.171,0.00591,0.0,0.206,0.709,96.306
117,220973,2001,65,0.643,0.981,7,-6.644,0.0439,0.0271,8.93e-05,0.11,0.38,140.01
118,253586,2006,54,0.661,0.855,8,-8.403,0.0377,0.0722,0.0185,0.199,0.601,123.943
119,241000,2001,54,0.668,0.772,9,-5.4,0.0307,0.123,0.0,0.341,0.911,118.011
120,264933,2001,57,0.66,0.71,1,-4.541,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988
121,223546,2001,63,0.721,0.737,5,-2.734,0.0324,0.121,0.0,0.165,0.931,97.996
122,194026,2001,43,0.657,0.965,8,-2.771,0.0556,0.0285,8.84e-05,0.0552,0.669,93.013
123,216733,1999,71,0.736,0.811,9,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502
124,337733,2001,64,0.854,0.673,4,-3.132,0.185,0.038,0.000227,0.255,0.955,95.0
125,230133,2001,73,0.908,0.557,8,-4.243,0.107,0.242,0.0,0.0709,0.897,90.032
126,246160,2001,0,0.707,0.869,5,-4.525,0.0481,0.104,0.000121,0.0813,0.621,99.825
127,271626,2002,50,0.7,0.787,6,-5.176,0.0327,0.00666,3.68e-05,0.0724,0.556,102.043
128,223840,2001,78,0.446,0.764,10,-5.042,0.033,0.00135,0.0,0.099,0.543,172.094
129,320357,2001,76,0.613,0.697,2,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746
130,270506,2000,82,0.843,0.806,4,-5.946,0.269,0.143,0.0,0.0771,0.613,94.948
131,213346,2001,50,0.682,0.917,11,-5.459,0.0318,0.15,0.0676,0.34,0.79,137.029
132,229173,2001,42,0.721,0.79,1,-4.125,0.124,0.183,0.0,0.1,0.821,103.141
133,218360,1999,73,0.725,0.583,1,-9.942,0.0427,0.3,0.000238,0.0665,0.762,79.984
134,213026,2000,57,0.767,0.759,6,-6.516,0.117,0.0513,0.0,0.31,0.677,89.989
135,256240,2001,69,0.563,0.86,8,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867
136,211493,2001,57,0.775,0.729,1,-4.229,0.162,0.0303,0.00247,0.0361,0.895,104.719
137,211120,2001,68,0.797,0.75,0,-9.369,0.247,0.533,0.108,0.095,0.74,177.87
138,252706,2008,52,0.635,0.854,10,-5.02,0.0612,0.00579,0.0083,0.0623,0.59,100.851
139,231213,2001,60,0.872,0.868,10,-3.036,0.12,0.153,2.26e-05,0.843,0.822,105.005
140,452906,2000,50,0.61,0.82,3,-10.029,0.0312,0.000211,0.146,0.138,0.45,127.993
141,340920,2001,74,0.663,0.694,10,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953
142,266506,2001,57,0.757,0.706,8,-6.665,0.203,0.0267,0.0,0.197,0.375,96.976
143,285386,2000,48,0.676,0.601,0,-4.905,0.0297,0.103,0.0,0.147,0.206,119.94
144,326240,2001,61,0.653,0.837,6,-6.818,0.124,0.534,7.12e-05,0.0784,0.64,97.914
145,221226,2001,67,0.786,0.842,4,-5.115,0.0707,0.00305,3.54e-06,0.473,0.685,97.577
146,295400,2001,65,0.878,0.724,10,-5.373,0.129,0.168,0.0116,0.133,0.904,121.906
147,284666,2001,55,0.612,0.579,1,-6.417,0.0553,0.285,0.0,0.0556,0.716,86.31
148,193093,2001,63,0.677,0.52,4,-6.255,0.334,0.00277,0.0,0.0532,0.768,203.862
149,218626,2001,47,0.631,0.821,4,-7.853,0.0867,0.00876,0.000247,0.293,0.547,118.007
150,213133,2001,54,0.464,0.922,0,-8.399,0.0638,0.124,0.227,0.0546,0.695,129.078
151,209266,2001,75,0.653,0.964,9,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928
152,223133,2001,57,0.897,0.466,10,-9.053,0.203,0.187,1.35e-06,0.0757,0.884,100.01
153,304506,2001,68,0.78,0.634,1,-5.941,0.16,0.0199,2.98e-05,0.29,0.754,125.25
154,210813,2016,26,0.888,0.8,5,-3.944,0.0946,0.0901,2.12e-05,0.229,0.866,106.957
155,280973,2000,53,0.699,0.618,7,-7.338,0.0594,0.0502,0.000925,0.0914,0.679,99.965
156,207560,2001,58,0.582,0.707,10,-4.487,0.0319,0.0822,0.0,0.0467,0.701,78.375
157,195506,2001,58,0.578,0.581,0,-6.867,0.0318,0.0658,0.0042,0.0674,0.408,83.293
158,232573,2001,67,0.596,0.661,5,-6.239,0.226,0.31,0.0,0.0847,0.86,129.491
159,197760,2001,68,0.802,0.341,7,-8.56,0.488,0.169,0.0,0.0783,0.849,166.01
160,233626,2001,63,0.822,0.672,7,-6.133,0.0329,0.0285,0.0,0.213,0.91,117.033
161,257200,2000,60,0.682,0.744,8,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493
162,276106,2000,1,0.587,0.679,2,-6.26,0.0927,0.0839,0.000316,0.413,0.65,180.184
163,234400,2001,61,0.739,0.679,0,-5.079,0.0373,0.000424,0.0187,0.389,0.786,127.487
164,207400,2004,46,0.795,0.919,9,-3.07,0.0835,0.37,0.00863,0.189,0.96,134.079
165,246720,2000,56,0.751,0.568,5,-5.431,0.0872,0.136,0.0,0.0288,0.646,128.002
166,201533,2001,60,0.585,0.702,0,-5.734,0.0325,0.538,0.0,0.216,0.51,139.909
167,218546,2000,69,0.418,0.249,3,-13.744,0.0301,0.841,0.661,0.112,0.213,82.803
168,222120,2001,60,0.321,0.511,8,-7.77,0.0306,0.513,0.0,0.127,0.17,128.98
169,212973,2000,58,0.541,0.899,1,-6.261,0.0633,0.0178,2.95e-06,0.286,0.829,106.676
170,207906,2001,64,0.84,0.835,1,-4.386,0.275,0.00281,1.11e-06,0.152,0.637,103.376
171,197360,2000,53,0.573,0.665,8,-5.081,0.0239,0.108,2.09e-06,0.095,0.347,105.006
172,295826,2001,56,0.697,0.925,3,-4.209,0.216,0.0614,0.0,0.095,0.678,96.951
173,231666,2000,68,0.55,0.804,2,-5.218,0.0271,0.0148,4.33e-05,0.105,0.789,79.166
174,162333,2002,46,0.836,0.762,7,-5.044,0.0598,0.0826,5.48e-05,0.102,0.941,133.592
175,231166,2018,0,0.676,0.715,6,-6.854,0.0287,0.00284,0.0746,0.0685,0.275,129.006
176,329933,2001,65,0.753,0.934,2,-3.011,0.0736,0.0174,0.065,0.128,0.73,113.525
177,185013,2001,66,0.747,0.706,4,-4.653,0.0413,0.0844,0.00355,0.174,0.567,94.019
178,257066,2001,64,0.874,0.768,6,-4.086,0.311,0.0554,0.0,0.041,0.636,106.095
179,221133,2001,65,0.73,0.602,6,-3.782,0.206,0.362,3.69e-06,0.169,0.927,97.954
180,217120,2001,54,0.847,0.877,2,-5.424,0.0493,0.124,0.0,0.148,0.764,131.044
181,262133,2001,66,0.708,0.587,11,-7.93,0.151,0.273,0.0,0.0718,0.554,83.46
182,304666,2000,0,0.569,0.385,1,-9.919,0.0499,0.342,0.0,0.0876,0.339,99.738
183,302826,2001,51,0.607,0.637,1,-11.072,0.241,0.0191,0.0,0.124,0.818,137.03
184,302760,2001,48,0.469,0.316,10,-8.106,0.0265,0.504,6.04e-06,0.0919,0.199,77.967
185,217493,2001,0,0.713,0.829,2,-4.171,0.0491,0.00769,0.00203,0.139,0.844,126.853
186,300933,2000,54,0.623,0.896,0,-4.719,0.247,0.035,0.0,0.0941,0.613,95.158
187,219093,2001,60,0.558,0.481,8,-9.487,0.026,0.315,8.83e-06,0.09,0.631,144.673
188,291781,2000,75,0.85,0.7,7,-6.49,0.0478,0.0616,1.8e-06,0.244,0.722,101.875
189,254400,2001,59,0.933,0.561,11,-5.961,0.122,0.0275,0.0,0.102,0.586,139.976
190,228800,2001,68,0.33,0.905,4,-5.047,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142
191,240626,2001,63,0.618,0.844,1,-4.051,0.342,0.0178,0.000126,0.0634,0.697,84.411
192,196986,2001,69,0.51,0.48,11,-6.567,0.0452,0.503,0.0,0.106,0.496,182.862
193,257426,2000,56,0.743,0.894,8,-6.886,0.0349,0.0755,0.00283,0.367,0.77,95.9
194,262773,2019,30,0.68,0.644,0,-4.507,0.0258,0.084,0.0,0.549,0.484,116.097
195,264706,2001,64,0.509,0.774,6,-4.054,0.0338,0.00189,0.000549,0.143,0.0824,116.529
196,263440,2000,56,0.721,0.723,2,-7.08,0.0631,0.102,4.4e-06,0.0651,0.761,88.933
197,265533,2001,65,0.562,0.594,3,-4.578,0.0558,0.318,0.0,0.311,0.423,62.876
198,292000,2001,45,0.699,0.403,11,-8.564,0.0614,0.421,0.0,0.126,0.5,113.922
199,216360,2000,61,0.537,0.858,1,-4.903,0.0349,0.000966,0.0,0.0812,0.502,124.599
200,289160,2002,77,0.727,0.552,2,-8.074,0.14,0.227,0.000164,0.198,0.607,168.189
201,290320,2002,87,0.908,0.669,7,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238
202,244506,2002,78,0.585,0.776,5,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987
203,237493,2002,75,0.56,0.825,11,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931
